Part Number,Title,Body (HTML),Features,Vendor,Main Category,Category,Platform,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Weight,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Height,Length,Width
AAS001,A-arm Support Brace,"Improve handling and increase front chassis and suspension rigidity on your S197 Mustang with an A-Arm Support Brace from BMR Suspension. During aggressive handling maneuvers with high speeds and sticky tires, extreme lateral loads are applied to the chassis and the factory components can flex dramatically. Manufactured from heavy-duty DOM steel tuning and CNC-formed laser-cut steel plate, BMR designed the AAS001 to stand up to the high loads of any performance environment. BMR's AAS001 reinforces the K-member at the rear A-arm mounts. This allows for higher lateral loads without K-member deflection reducing the car's handling capabilities. <br> <br> BMR designed the AAS001 for street performance, drag race, and handling applications. Connecting the A-arms mounts adds strength to the front suspension system and reduces K-member and suspension deflection. This allows for larger lateral loads without deflection causing dynamic alignment changes and erratic handling. When performance is a must, rely on BMR Suspension!<br> <br> BMR Suspension's AAS001 A-arm Support Brace is available in a black hammertone and red powder coat finish for long-lasting good looks. Installation time is about 1 hour. Proudly made in the U.S.A.<br>","- Fits 2005-2014 Mustang, 2007-2014 Shelby GT500<br>- Designed for street performance, drag race, and handling applications<br>- Bolt-on design<br>- Connects the rear A-arms mounts<br>- Reinforced K-member and front suspension<br>- Allows for higher lateral loads<br>- Proudly designed in the U.S.A.<br>- Proudly made in the U.S.A.<br>",BMR Suspension,Chassis,A-Arm Support Braces,2005-2014 Mustang,"BMR Suspension, 2005-2014 Mustang, Chassis, A-Arm Support Braces, AAS001, Free Shipping, Made in the USA",TRUE,Color,Red,,,AAS001R,6,TRUE,100,continue,manual,69.95,,TRUE,TRUE,,https://bmrsuspension.com/siteart/products/AAS001_large.jpg,1,AAS001R - A-arm Support Brace,FALSE,A-arm Support Brace,"Improve handling and increase front chassis and suspension rigidity on your S197 Mustang with an A-Arm Support Brace from BMR Suspension. During aggressive handling maneuvers with high speeds and sticky tires, extreme lateral loads are applied to the chassis and the factory components can flex dramatically. Manufactured from heavy-duty DOM steel tuning and CNC-formed laser-cut steel plate, BMR designed the AAS001 to stand up to the high loads of any performance environment. BMR's AAS001 reinforces the K-member at the rear A-arm mounts. This allows for higher lateral loads without K-member deflection reducing the car's handling capabilities.

BMR designed the AAS001 for street performance, drag race, and handling applications. Connecting the A-arms mounts adds strength to the front suspension system and reduces K-member and suspension deflection. This allows for larger lateral loads without deflection causing dynamic alignment changes and erratic handling. When performance is a must, rely on BMR Suspension!

BMR Suspension's AAS001 A-arm Support Brace is available in a black hammertone and red powder coat finish for long-lasting good looks. Installation time is about 1 hour. Proudly made in the U.S.A.",Auto Parts & Accessories > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Suspension Parts,Unisex,Adult,AAS001R,"BMR Suspension, 2005-2014 Mustang, Chassis, A-Arm Support Braces, AAS001, Free Shipping, Made in the USA",A-arm Support Brace,New,,,,,,,https://bmrsuspension.com/siteart/products/AAS001_large.jpg,lb,,6.0in,29.0in,6.0in
AAS001,,,,,,,,,,,Black Hammertone,,,AAS001H,6,TRUE,100,continue,manual,69.95,,TRUE,TRUE,,https://bmrsuspension.com/siteart/products/AAS001_image1_large.jpg,2,AAS001H - A-arm Support Brace,FALSE,,,,,,,,,,,,,,,,https://bmrsuspension.com/siteart/products/AAS001_image1_large.jpg,lb,,6.0in,29.0in,6.0in
FC001,"Camber Bolts, Front 2 Degree Offset","Correct front alignment and add camber adjustability to the your 2005-2014 S197 Mustang with Camber Bolts from BMR Suspension. The S197 Mustangs have no factory camber adjustability, and once your car is lowered, this can lead to poor handling and premature tire wear. BMR's Camber Bolts are forged steel bolts, giving you unrivaled strength and precision. The assembly is completed with heavy-duty nuts and locating washers. The BMR Camber Bolts give you 2 degree of camber adjustability in the front of your S197 Mustang. This allows you to achieve the proper camber settings on lowered vehicles, or more aggressive alignment setting for hardcore handling applications. <br> <br> BMR Suspension designed the FC001 Camber Bolts for street performance, drag race, and handling applications. Each component of the FC001 assembly is precision forged, giving you the ability to make precise alignment changes. The nut/locating washer design allows for unlimited adjustments without have to use new hardware. Whether you drag race, road race, or simply drive your car on the street, BMR's FC001 is perfect for any car in need of additional front camber.<br> <br> BMR Suspension's FC001 camber bolts are available in a durable black zinc finish for long-lasting good looks. Installation time is about 1 hour. Proudly made in the U.S.A.<br>",- Fits 2005-2014 S197 Mustang<br>- Provides 2 degrees of additional camber adjustability<br>- Allows for proper front alignment on lowered vehicles<br>- Allows for aggressive alignment settings for autocross and road race applications<br>- Heavy-duty Hardware for the ultimate in strength<br>- Heavy-duty nut and locating washer<br>- Simple bolt-on installation<br>- Durable black zinc finish<br>- Proudly designed in the U.S.A.<br>- Proudly built in the U.S.A.<br>,BMR Suspension,Suspension,Caster & Camber Components,2005-2014 Mustang,"BMR Suspension, 2005-2014 Mustang, Suspension, Caster & Camber Components, FC001, Free Shipping, Made in the USA",TRUE,Title,Default Title,,,FC001,1,TRUE,100,continue,manual,34.95,,TRUE,TRUE,,https://bmrsuspension.com/siteart/products/FC001_large.jpg,,"FC001 - Camber Bolts, Front 2 Degree Offset",FALSE,"Camber Bolts, Front 2 Degree Offset","Correct front alignment and add camber adjustability to the your 2005-2014 S197 Mustang with Camber Bolts from BMR Suspension. The S197 Mustangs have no factory camber adjustability, and once your car is lowered, this can lead to poor handling and premature tire wear. BMR's Camber Bolts are forged steel bolts, giving you unrivaled strength and precision. The assembly is completed with heavy-duty nuts and locating washers. The BMR Camber Bolts give you 2 degree of camber adjustability in the front of your S197 Mustang. This allows you to achieve the proper camber settings on lowered vehicles, or more aggressive alignment setting for hardcore handling applications.

BMR Suspension designed the FC001 Camber Bolts for street performance, drag race, and handling applications. Each component of the FC001 assembly is precision forged, giving you the ability to make precise alignment changes. The nut/locating washer design allows for unlimited adjustments without have to use new hardware. Whether you drag race, road race, or simply drive your car on the street, BMR's FC001 is perfect for any car in need of additional front camber.

BMR Suspension's FC001 camber bolts are available in a durable black zinc finish for long-lasting good looks. Installation time is about 1 hour. Proudly made in the U.S.A.",Auto Parts & Accessories > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Suspension Parts,Unisex,Adult,FC001,"BMR Suspension, 2005-2014 Mustang, Suspension, Caster & Camber Components, FC001, Free Shipping, Made in the USA","Camber Bolts, Front 2 Degree Offset",New,,,,,,,https://bmrsuspension.com/siteart/products/FC001_large.jpg,lb,,2.0in,6.0in,3.0in
DSL010,Driveshaft Safety Loop,"Protect your 2005-2010 Mustang, while complying with NHRA safety rules with a Driveshaft Safety Loop from BMR Suspension. If you drag race your S197 Mustang, chances are you need a driveshaft safety loop to be NHRA legal. Built from 1/4-inch laser-cut CNC-formed plate steel, BMR's DSL010 Driveshaft Safety Loop bolts-on using OE mounting holes from the factory transmission crossmember. This design gives you a solidly mounted loop that will stay in place should a driveshaft or transmission failure occur. <br> <br> BMR Suspension designed the Driveshaft Safety Loop to contain a driveshaft, keeping it from ripping through the floor or digging into the track in event of a failure. It simply attaches to the factory transmission crossmember with supplied Grade 8 hardware. Other companies' driveshaft loops attach to the transmission and can fail to contain the driveshaft in the event of a transmission failure. BMR designed the DSL010 for street, drag race, and top speed applications. A Driveshaft Safety Loop is cheap insurance to protect your investment and provide peace-of-mind whether you are at the track or on the street. When performance is a must, rely on BMR Suspension!<br> <br> BMR Suspension's DSL010 bolt-on Driveshaft Safety Loop is available in black hammertone and red powdercoat for long-lasting good looks. Installation time is about 1 hour. Proudly made in the U.S.A.!<br>",- Fits 2005-2010 V6 and V8 Ford Mustang<br>- Bolt-on design<br>- No fabrication needed<br>- Complies with NHRA rules<br>- Required for cars quicker than 13.99 in the quarter mile with sticky tires<br>- Required for cars quicker than 11.49 in the quarter mile with stock tires<br>- 1/4-inch laser-cut plate steel<br>- Includes all necessary Grade 8 hardware<br>- Available in black hammertone and red powdercoat<br>- Durable powdercoat finish<br>- Proudly designed in the U.S.A.<br>- Proudly built in the U.S.A.<br>,BMR Suspension,Chassis,Driveshaft Safety Loops,2005-2014 Mustang,"BMR Suspension, 2005-2014 Mustang, Chassis, Driveshaft Safety Loops, DSL010, Free Shipping, Made in the USA",TRUE,Color,Red,,,DSL010R,8,TRUE,100,continue,manual,129.95,,TRUE,TRUE,,https://bmrsuspension.com/siteart/products/DSL010_large.jpg,1,DSL010R - Driveshaft Safety Loop,FALSE,Driveshaft Safety Loop,"Protect your 2005-2010 Mustang, while complying with NHRA safety rules with a Driveshaft Safety Loop from BMR Suspension. If you drag race your S197 Mustang, chances are you need a driveshaft safety loop to be NHRA legal. Built from 1/4-inch laser-cut CNC-formed plate steel, BMR's DSL010 Driveshaft Safety Loop bolts-on using OE mounting holes from the factory transmission crossmember. This design gives you a solidly mounted loop that will stay in place should a driveshaft or transmission failure occur.

BMR Suspension designed the Driveshaft Safety Loop to contain a driveshaft, keeping it from ripping through the floor or digging into the track in event of a failure. It simply attaches to the factory transmission crossmember with supplied Grade 8 hardware. Other companies' driveshaft loops attach to the transmission and can fail to contain the driveshaft in the event of a transmission failure. BMR designed the DSL010 for street, drag race, and top speed applications. A Driveshaft Safety Loop is cheap insurance to protect your investment and provide peace-of-mind whether you are at the track or on the street. When performance is a must, rely on BMR Suspension!

BMR Suspension's DSL010 bolt-on Driveshaft Safety Loop is available in black hammertone and red powdercoat for long-lasting good looks. Installation time is about 1 hour. Proudly made in the U.S.A.!",Auto Parts & Accessories > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Suspension Parts,Unisex,Adult,DSL010R,"BMR Suspension, 2005-2014 Mustang, Chassis, Driveshaft Safety Loops, DSL010, Free Shipping, Made in the USA",Driveshaft Safety Loop,New,,,,,,,https://bmrsuspension.com/siteart/products/DSL010_large.jpg,lb,,6.0in,15.0in,11.0in
DSL010,,,,,,,,,,,Black Hammertone,,,DSL010H,8,TRUE,100,continue,manual,129.95,,TRUE,TRUE,,https://bmrsuspension.com/siteart/products/DSL010_image1_large.jpg,2,DSL010H - Driveshaft Safety Loop,FALSE,,,,,,,,,,,,,,,,https://bmrsuspension.com/siteart/products/DSL010_image1_large.jpg,lb,,6.0in,15.0in,11.0in
DSL011,Rear Tunnel Brace With Rear Driveshaft Safety Loop,"Protect your 2005-2014 Mustang, while complying with NHRA safety rules with a rear Driveshaft Safety Loop from BMR Suspension. If you drag race your S197 Mustang, chances are you need a driveshaft safety loop to be NHRA legal. Built from 1/4-inch laser-cut CNC-formed plate steel, BMR's DSL011 Driveshaft Safety Loop bolts-on using OE mounting holes from the factory floor pan. This design gives you a solidly mounted loop that will stay in place should a driveshaft or transmission failure occur. <br> <br> BMR Suspension designed the rear Driveshaft Safety Loop to contain a driveshaft, keeping it from ripping through the floor or digging into the track in event of a failure. It simply attaches to the factory floor pan with supplied Grade 8 hardware. Other companies' driveshaft loops attach to the transmission and can fail to contain the driveshaft in the event of a transmission failure. BMR designed the DSL011 for street, drag race, and top speed applications. A rear Driveshaft Safety Loop is cheap insurance to protect your investment and provide peace-of-mind whether you are at the track or on the street. When performance is a must, rely on BMR Suspension!<br> <br> ***BMR does not recommend the DSL011 or the DTB002 with one-piece driveshafts. If those parts are used with a one-piece driveshaft, care must be taken when suspension droops. When lifting car, the rear jacking point should be the rear axle assembly.***<br> <br> BMR Suspension's DSL011 bolt-on Driveshaft Safety Loop is available in black hammertone and red powdercoat for long-lasting good looks. Installation time is about 1 hour. Proudly made in the U.S.A.!<br>",- Fits 2005-2014 V6 and V8 Ford Mustang<br>- Rear Driveshaft Loop<br>- Bolt-on design<br>- No fabrication needed<br>- Complies with NHRA rules<br>- Required for cars quicker than 13.99 in the quarter mile with sticky tires<br>- Required for cars quicker than 11.49 in the quarter mile with stock tires<br>- 1/4-inch laser-cut plate steel<br>- Includes all necessary Grade 8 hardware<br>- Available in black hammertone and red powdercoat<br>- Durable powdercoat finish<br>- Proudly designed in the U.S.A.<br>- Proudly built in the U.S.A.<br>,BMR Suspension,Chassis,Driveshaft Safety Loops,2005-2014 Mustang,"BMR Suspension, 2005-2014 Mustang, Chassis, Driveshaft Safety Loops, DSL011, Free Shipping, Made in the USA",TRUE,Color,Red,,,DSL011R,13,TRUE,100,continue,manual,149.95,,TRUE,TRUE,,https://bmrsuspension.com/siteart/products/DSL011_large.jpg,1,DSL011R - Rear Tunnel Brace With Rear Driveshaft Safety Loop,FALSE,Rear Tunnel Brace With Rear Driveshaft Safety Loop,"Protect your 2005-2014 Mustang, while complying with NHRA safety rules with a rear Driveshaft Safety Loop from BMR Suspension. If you drag race your S197 Mustang, chances are you need a driveshaft safety loop to be NHRA legal. Built from 1/4-inch laser-cut CNC-formed plate steel, BMR's DSL011 Driveshaft Safety Loop bolts-on using OE mounting holes from the factory floor pan. This design gives you a solidly mounted loop that will stay in place should a driveshaft or transmission failure occur.

BMR Suspension designed the rear Driveshaft Safety Loop to contain a driveshaft, keeping it from ripping through the floor or digging into the track in event of a failure. It simply attaches to the factory floor pan with supplied Grade 8 hardware. Other companies' driveshaft loops attach to the transmission and can fail to contain the driveshaft in the event of a transmission failure. BMR designed the DSL011 for street, drag race, and top speed applications. A rear Driveshaft Safety Loop is cheap insurance to protect your investment and provide peace-of-mind whether you are at the track or on the street. When performance is a must, rely on BMR Suspension!

***BMR does not recommend the DSL011 or the DTB002 with one-piece driveshafts. If those parts are used with a one-piece driveshaft, care must be taken when suspension droops. When lifting car, the rear jacking point should be the rear axle assembly.***

BMR Suspension's DSL011 bolt-on Driveshaft Safety Loop is available in black hammertone and red powdercoat for long-lasting good looks. Installation time is about 1 hour. Proudly made in the U.S.A.!",Auto Parts & Accessories > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Suspension Parts,Unisex,Adult,DSL011R,"BMR Suspension, 2005-2014 Mustang, Chassis, Driveshaft Safety Loops, DSL011, Free Shipping, Made in the USA",Rear Tunnel Brace With Rear Driveshaft Safety Loop,New,,,,,,,https://bmrsuspension.com/siteart/products/DSL011_large.jpg,lb,,5.0in,45.0in,11.0in
DSL011,,,,,,,,,,,Black Hammertone,,,DSL011H,13,TRUE,100,continue,manual,149.95,,TRUE,TRUE,,https://bmrsuspension.com/siteart/products/DSL011_image1_large.jpg,2,DSL011H - Rear Tunnel Brace With Rear Driveshaft Safety Loop,FALSE,,,,,,,,,,,,,,,,https://bmrsuspension.com/siteart/products/DSL011_image1_large.jpg,lb,,5.0in,45.0in,11.0in
DSL011,,,,,,,,,,,,,,https://bmrsuspension.com/siteart/products/DSL011_image2_large.jpg,,BMR Suspension DSL011 - Rear Tunnel Brace With Rear Driveshaft Safety Loop,,,5.0in,45.0in,11.0in,DSL011,5.0in,45.0in,11.0in,,,,,,,,,,,,,,,,,,,,,,,,
DSL012,Loop Upgrade For BMR Rear Tunnel Brace,"Protect your 2005-2014 Mustang, while complying with NHRA safety rules with a rear Driveshaft Safety Loop from BMR Suspension. If you drag race your S197 Mustang, chances are you need a driveshaft safety loop to be NHRA legal. Built from 1/4-inch laser-cut CNC-formed plate steel, BMR's DSL012 Driveshaft Safety Loop bolts-on using OE mounting holes on the DTB002. This design gives you a solidly mounted loop that will stay in place should a driveshaft or transmission failure occur. <br> <br> BMR Suspension designed the rear Driveshaft Safety Loop to contain a driveshaft, keeping it from ripping through the floor or digging into the track in event of a failure. It simply attaches to the factory floor pan with supplied Grade 8 hardware. Other companies' driveshaft loops attach to the transmission and can fail to contain the driveshaft in the event of a transmission failure. BMR designed the DSL012 for street, drag race, and top speed applications. A rear Driveshaft Safety Loop is cheap insurance to protect your investment and provide peace-of-mind whether you are at the track or on the street. When performance is a must, rely on BMR Suspension!<br> <br> BMR Suspension's DSL012 bolt-on Driveshaft Safety Loop is available in black hammertone and red powdercoat for long-lasting good looks. Installation time is about 1 hour. Proudly made in the U.S.A.!<br>",- Fits 2005-2014 V6 and V8 Ford Mustang<br>- Driveshaft Loop for DTB002<br>- Bolt-on design<br>- No fabrication needed<br>- Complies with NHRA rules<br>- Required for cars quicker than 13.99 in the quarter mile with sticky tires<br>- Required for cars quicker than 11.49 in the quarter mile with stock tires<br>- 1/4-inch laser-cut plate steel<br>- Includes all necessary Grade 8 hardware<br>- Available in black hammertone and red powdercoat<br>- Durable powdercoat finish<br>- Proudly designed in the U.S.A.<br>- Proudly built in the U.S.A.<br>,BMR Suspension,Chassis,Driveshaft Safety Loops,2005-2014 Mustang,"BMR Suspension, 2005-2014 Mustang, Chassis, Driveshaft Safety Loops, DSL012, Free Shipping, Made in the USA",TRUE,Color,Red,,,DSL012R,4,TRUE,100,continue,manual,49.95,,TRUE,TRUE,,https://bmrsuspension.com/siteart/products/DSL012_large.jpg,1,DSL012R - Loop Upgrade For BMR Rear Tunnel Brace,FALSE,Loop Upgrade For BMR Rear Tunnel Brace,"Protect your 2005-2014 Mustang, while complying with NHRA safety rules with a rear Driveshaft Safety Loop from BMR Suspension. If you drag race your S197 Mustang, chances are you need a driveshaft safety loop to be NHRA legal. Built from 1/4-inch laser-cut CNC-formed plate steel, BMR's DSL012 Driveshaft Safety Loop bolts-on using OE mounting holes on the DTB002. This design gives you a solidly mounted loop that will stay in place should a driveshaft or transmission failure occur.

BMR Suspension designed the rear Driveshaft Safety Loop to contain a driveshaft, keeping it from ripping through the floor or digging into the track in event of a failure. It simply attaches to the factory floor pan with supplied Grade 8 hardware. Other companies' driveshaft loops attach to the transmission and can fail to contain the driveshaft in the event of a transmission failure. BMR designed the DSL012 for street, drag race, and top speed applications. A rear Driveshaft Safety Loop is cheap insurance to protect your investment and provide peace-of-mind whether you are at the track or on the street. When performance is a must, rely on BMR Suspension!

BMR Suspension's DSL012 bolt-on Driveshaft Safety Loop is available in black hammertone and red powdercoat for long-lasting good looks. Installation time is about 1 hour. Proudly made in the U.S.A.!",Auto Parts & Accessories > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Suspension Parts,Unisex,Adult,DSL012R,"BMR Suspension, 2005-2014 Mustang, Chassis, Driveshaft Safety Loops, DSL012, Free Shipping, Made in the USA",Loop Upgrade For BMR Rear Tunnel Brace,New,,,,,,,https://bmrsuspension.com/siteart/products/DSL012_large.jpg,lb,,3.0in,10.0in,8.0in
DSL012,,,,,,,,,,,Black Hammertone,,,DSL012H,4,TRUE,100,continue,manual,49.95,,TRUE,TRUE,,https://bmrsuspension.com/siteart/products/DSL012_image1_large.jpg,2,DSL012H - Loop Upgrade For BMR Rear Tunnel Brace,FALSE,,,,,,,,,,,,,,,,https://bmrsuspension.com/siteart/products/DSL012_image1_large.jpg,lb,,3.0in,10.0in,8.0in
